path,w,h,kb,mode,top1,top8,ncolors,sat
DAPR-2000--Digital_Audio_Essentials/Mixing__Mixing_and_Mastering/Mastering_Chain.png,1600,900,265,RGBA,0.937,0.964,258,0.033
DAPR-2000--Digital_Audio_Essentials/Mixing__Mixing_and_Mastering/Mix_Bus_vs_Master_Fader.png,1672,941,903,RGB,0.703,0.959,238,0.014
DAPR-2000--Digital_Audio_Essentials/Mixing__Mixing_and_Mastering/Mix_Arc.png,1600,900,295,RGBA,0.893,0.952,276,0.043
DAPR-2000--Digital_Audio_Essentials/Mixing__Mixing_and_Mastering/Sample_vs_True_Peak.png,1600,900,86,RGBA,0.962,0.99,91,0.011
DAPR-2000--Digital_Audio_Essentials/Mixing__Mixing_and_Mastering/Module_Banner.png,1600,500,383,RGBA,0.79,0.917,223,0.077
DAPR-2000--Digital_Audio_Essentials/Mixing__Mixing_and_Mastering/Compressor_Limiter_Iii_Plugin_Window.png,576,397,199,RGB,0.221,0.676,1393,0.079
DAPR-2000--Digital_Audio_Essentials/Instructor_Use_Only_(Hidden)/Uvu_Digital_Media_Logo.png,800,151,18,RGBA,0.59,0.981,29,0.0
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_02_Mix_Window_Sends.jpg,2648,2062,854,RGB,0.22,0.504,1119,0.144
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_13_Record_Enabled_Audio_Track.png,329,515,39,RGB,0.575,0.783,758,0.061
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Edit_Modes_Shuffle_Slip_Spot_Grid.jpg,254,126,10,RGB,0.178,0.535,451,0.391
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_03_Edit_Window_Track_Types.jpg,2048,1314,355,RGB,0.233,0.577,1277,0.111
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Pro_Tools_Pan_and_Track_State_Quiz.png,75,124,10,RGBA,0.267,0.761,217,0.183
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_15_Input_Monitoring_Playback_Example.png,2048,1314,1468,RGBA,0.187,0.489,1332,0.155
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_05_IO_Setup_Input_Page.jpg,2048,1366,153,RGB,0.54,0.926,107,0.001
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_08_Edit_Window_View_Selector.jpg,430,1042,85,RGB,0.341,0.714,498,0.056
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Pro_Tools_Track_With_Clip.png,555,222,74,RGBA,0.152,0.656,360,0.441
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Track_Arming_vs_Input_Monitoring.png,2048,1217,1112,RGBA,0.898,0.94,172,0.014
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Pro_Tools_Pan_and_Track_State_Quiz_Alt.png,75,124,10,RGBA,0.272,0.761,217,0.183
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_04_IO_Setup_Output_Page.jpg,2048,1366,170,RGB,0.529,0.916,111,0.001
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Pro_Tools_Dashboard_1.png,574,605,52,RGB,0.565,0.955,108,0.005
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_11_Edit_Toolbar_Standard.jpg,492,98,13,RGB,0.131,0.53,328,0.055
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_07_Window_Menu_Edit_and_Mix.jpg,556,392,36,RGB,0.089,0.519,431,0.135
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_12_Transport_Window_Controls.png,413,415,27,RGB,0.715,0.815,678,0.071
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_01_New_Tracks_Dialog.jpg,1630,504,109,RGB,0.55,0.902,106,0.005
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_02_Mix_Window_Track_Types.jpg,1706,1934,544,RGB,0.157,0.439,1045,0.195
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_06_IO_Setup_Bus_Page.jpg,2048,1366,236,RGB,0.518,0.918,209,0.003
DAPR-2000--Digital_Audio_Essentials/Pro_Tools__Introduction/Dapr2000_Protools_10_Edit_Toolbar_Expanded.jpg,646,104,15,RGB,0.181,0.579,339,0.067
DAPR-2000--Digital_Audio_Essentials/Auxiliary_Resources/Reference_Downloads.png,1672,941,1944,RGB,0.045,0.193,1214,0.233
DAPR-2000--Digital_Audio_Essentials/DAPR_2000__Final_Exam/Final_Topic_Map.png,1600,900,701,RGBA,0.895,0.955,262,0.012
DAPR-2000--Digital_Audio_Essentials/Sound__The_Decibel/The_Decibel.jpg,4782,2832,699,RGB,0.489,0.975,267,0.052
DAPR-2000--Digital_Audio_Essentials/Sound__The_Decibel/Reference_Ladder.png,1600,900,447,RGBA,0.902,0.921,772,0.038
DAPR-2000--Digital_Audio_Essentials/Sound__The_Decibel/Decibel_Log_Scale.jpg,1672,941,178,RGB,0.786,0.95,136,0.008
DAPR-2000--Digital_Audio_Essentials/Sound__The_Decibel/The_Uberschall_Dream_Meets_Real_World_Math.png,4350,3450,1969,RGBA,0.329,0.919,485,0.052
DAPR-2000--Digital_Audio_Essentials/Sound__The_Decibel/Krakatoa_Header.png,1024,456,1033,RGB,0.092,0.48,445,0.854
DAPR-2000--Digital_Audio_Essentials/Sound__The_Decibel/Series_Parallel.png,6750,4350,264,RGBA,0.501,0.994,31,0.082
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Edit_Tools_Trim.png,299,91,16,RGBA,0.391,0.914,97,0.204
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Gml_8200_Parametric_EQ.png,1713,313,888,RGBA,0.261,0.565,727,0.132
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Waveform_Select_Icon_Highlighted.png,299,91,16,RGBA,0.391,0.914,97,0.205
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Api_560_Graphic_EQ.png,468,138,98,RGBA,0.21,0.739,724,0.192
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/High_Shelving_EQ_Plus_Gain.png,682,494,137,RGBA,0.237,0.677,908,0.075
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Speaker_Scrub_Icon_Highlighted.png,299,91,16,RGBA,0.385,0.914,96,0.213
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/EQ_Filter_Slopes.png,1600,909,91,RGBA,0.942,0.984,173,0.012
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/The_Anatomy_of_a_Compressor.png,3750,3300,330,RGBA,0.382,0.879,538,0.044
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Edit_Tools_Grabber.png,299,91,16,RGBA,0.391,0.914,96,0.204
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Bell_EQ_or_Parametric_EQ_Plus_Gain.png,679,492,135,RGBA,0.256,0.683,976,0.078
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Edit_Tools_Scrubber.png,299,91,16,RGBA,0.385,0.914,96,0.213
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/High_Pass_Filter.png,677,490,133,RGBA,0.236,0.681,948,0.063
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Bell_EQ_or_Parametric_EQ_Gain.png,680,492,135,RGBA,0.242,0.691,959,0.069
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Track_State_Input_Monitor_Highlighted.png,75,124,10,RGBA,0.267,0.761,217,0.183
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Edit_Tools_Zoomer.png,299,91,16,RGBA,0.38,0.914,96,0.214
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Dashboard_Key.png,574,605,58,RGB,0.415,0.92,122,0.041
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Frequency_Chart.png,398,208,18,RGBA,0.787,0.913,124,0.084
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/EQ_Low_Pass_Slopes.jpg,1672,941,181,RGB,0.913,0.956,482,0.01
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Blank_Edit_Window.png,3437,1353,275,RGBA,0.644,0.956,136,0.071
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Splash_Screen.png,982,512,194,RGB,0.415,0.831,197,0.04
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pencil_Icon_Highlighted.png,299,91,16,RGBA,0.38,0.914,95,0.216
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/EQ_Shelf_vs_Bell.jpg,1672,941,193,RGB,0.872,0.938,659,0.022
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Track_with_Clip_Labeled.png,555,222,80,RGB,0.13,0.61,528,0.391
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Track_with_Clip.png,555,222,64,RGB,0.155,0.671,283,0.426
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/High_Shelving_EQ_Gain.png,680,490,135,RGBA,0.251,0.695,982,0.069
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Open_Hand_Icon_Highlighted.png,299,91,16,RGBA,0.391,0.914,96,0.204
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Filter_Curve_3.png,414,134,11,RGBA,0.929,0.979,131,0.045
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/EQ_High_Pass_Slopes.jpg,1672,941,200,RGB,0.902,0.949,656,0.015
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Edit_Tools_Smart_Tool.png,299,91,16,RGBA,0.364,0.912,94,0.244
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Inserts.png,73,107,7,RGBA,0.55,0.963,68,0.289
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Filter_Curve_2.png,414,127,10,RGBA,0.929,0.98,115,0.045
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Trim_Arrows_Icon_Highlighted.png,299,91,16,RGBA,0.391,0.914,97,0.204
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Transport_Controls.png,158,90,11,RGBA,0.447,0.961,72,0.056
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Filter_Curve_1.png,411,124,11,RGBA,0.92,0.976,137,0.053
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Filter_Curve_5.png,428,132,9,RGBA,0.928,0.976,142,0.046
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Panner.png,75,124,9,RGBA,0.258,0.754,216,0.169
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Filter_Curve_4.png,413,144,9,RGBA,0.934,0.982,127,0.039
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Edit_Tools_Selector.png,299,91,16,RGBA,0.391,0.914,97,0.205
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Filter_Curve_6.png,421,144,9,RGBA,0.941,0.984,109,0.035
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Track_State_Mute_Highlighted.png,75,124,10,RGBA,0.272,0.761,217,0.183
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Low_Shelving_EQ_Plus_Gain.png,674,491,130,RGBA,0.244,0.68,995,0.075
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Magnifier_Zoom_Icon_Highlighted.png,299,91,16,RGBA,0.38,0.914,96,0.214
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Maag_Eq4_Air_Band.png,1904,488,1075,RGBA,0.036,0.238,2081,0.818
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Edit_Tools_Pencil.png,299,91,16,RGBA,0.38,0.914,95,0.216
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Fader_and_Meters.png,76,267,26,RGBA,0.265,0.814,162,0.209
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Module_Banner.png,1600,500,132,RGBA,0.946,0.979,133,0.02
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Low_Pass_Filter.png,675,488,128,RGBA,0.241,0.684,949,0.061
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Low_Shelving_EQ_Gain.png,681,493,133,RGBA,0.24,0.682,947,0.081
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_I-O.png,76,56,6,RGBA,0.197,0.806,86,0.152
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Dashboard_Key_Blank.png,574,605,59,RGBA,0.416,0.925,124,0.041
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Three_Tool_Group_Highlighted.png,299,91,16,RGBA,0.364,0.912,94,0.244
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Compressor_Transfer_Curve.jpg,1672,941,163,RGB,0.933,0.962,433,0.014
DAPR-2000--Digital_Audio_Essentials/DAW__EQ_and_Dynamics/Pro_Tools_Blank_Mix_Window.png,3434,1347,214,RGBA,0.934,0.985,81,0.017
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Polar_Pattern.jpg,1600,1600,380,RGB,0.096,0.58,232,0.036
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Polarpatterncomparison.jpg,760,400,43,RGB,0.876,0.918,1282,0.023
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Polar_Chart_Supercardioid_Labeled.png,1000,528,223,RGBA,0.924,0.947,457,0.007
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Channel_Strip_with_Hard_Panned_Knobs.png,81,595,19,RGBA,0.333,0.782,135,0.112
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Polar_Pattern_Alt.jpg,1600,1600,355,RGB,0.161,0.756,153,0.019
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Stereo_Mic_Techniques.jpg,1672,941,319,RGB,0.655,0.796,1426,0.046
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Figure_Eight_Polar_Pattern.jpg,1024,780,73,RGB,0.183,0.494,307,0.085
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Polar_Patterns_Chart.png,1600,900,150,RGBA,0.887,0.978,115,0.016
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Cardioid_Polar_Chart.png,1600,1600,1184,RGBA,0.909,0.945,227,0.02
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Polar_Patterns.jpg,1672,941,232,RGB,0.82,0.91,477,0.027
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Xy_Coincident_Pair.jpg,800,416,28,RGB,0.934,0.983,38,0.0
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Mic_Pattern_Polar_Chart_Cardioid_Labeled.png,1362,1208,257,RGBA,0.72,0.974,160,0.024
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Stereo_Recording_Techniques_Graphic4.jpg,770,400,30,RGB,0.954,0.984,92,0.001
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Polar_Pattern_Supercardioid.png,1600,1600,1070,RGBA,0.92,0.968,127,0.001
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Hypercardioid.png,1669,1669,197,RGB,0.954,0.989,31,0.0
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Module_Banner.png,1600,500,69,RGBA,0.896,0.983,88,0.016
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Channel_Strip_with_Centered_Pan_Knobs.png,81,633,19,RGBA,0.343,0.781,149,0.108
DAPR-2000--Digital_Audio_Essentials/Microphones__Characteristics_Selection_and_Stereo_Techniques/Polar_Pattern_Cardioid_SVG.png,1024,1024,114,LA,0.939,0.981,32,0.0
DAPR-2010--Core_Recording/Impedance_and_Voltage/Bridging_versus_Matching.png,1774,887,299,RGBA,0.939,0.962,302,0.019
DAPR-2010--Core_Recording/Impedance_and_Voltage/Five_Connection_Cases.png,1600,1000,106,RGBA,0.908,0.987,76,0.032
DAPR-2010--Core_Recording/Impedance_and_Voltage/Source_and_Load_Circuit_with_Table.png,1600,760,123,RGBA,0.877,0.962,126,0.005
DAPR-2010--Core_Recording/Impedance_and_Voltage/Bridging_Versus_Matching_Alt.png,1774,887,308,RGBA,0.938,0.962,302,0.019
DAPR-2010--Core_Recording/Impedance_and_Voltage/Resistor_Divider_with_Blue_Header_Table.png,1600,760,769,RGBA,0.832,0.935,280,0.078
DAPR-2010--Core_Recording/Impedance_and_Voltage/Wiki_Banner.png,1600,500,563,RGB,0.773,0.973,137,0.01
DAPR-2010--Core_Recording/Impedance_and_Voltage/Right_and_Wrong_Connections.png,1472,694,63,RGBA,0.707,0.965,315,0.037
DAPR-2010--Core_Recording/Impedance_and_Voltage/Voltage_Divider.png,1774,887,282,RGBA,0.91,0.968,179,0.045
DAPR-2010--Core_Recording/Impedance_and_Voltage/Safe_Interconnection.png,1600,800,1004,RGB,0.703,0.897,630,0.173
DAPR-2010--Core_Recording/Course_Orientation/Term_at_a_Glance.png,1580,950,90,RGBA,0.89,0.982,377,0.048
DAPR-2010--Core_Recording/Course_Orientation/Grading_Banner.png,1600,500,365,P,0.066,0.27,186,0.59
DAPR-2010--Core_Recording/Course_Orientation/Core_Recording_DAPR_2010_002.png,1536,1024,2276,RGB,0.49,0.872,169,0.233
DAPR-2010--Core_Recording/Course_Orientation/Course_Card.png,1600,900,29,RGB,0.715,0.983,49,0.006
DAPR-2010--Core_Recording/Course_Orientation/Course_Card_Alt.png,1024,684,1048,RGB,0.057,0.254,2008,0.498
DAPR-2010--Core_Recording/Course_Orientation/Policies_Banner.png,1600,500,425,P,0.13,0.466,177,0.446
DAPR-2010--Core_Recording/Microphones/Pressure_vs_Gradient.png,1600,700,931,RGB,0.855,0.931,373,0.02
DAPR-2010--Core_Recording/Microphones/Transducer_Types.png,1895,830,439,RGBA,0.812,0.906,297,0.097
DAPR-2010--Core_Recording/Microphones/Spec_Sheet_Anatomy_Alt.png,1586,992,497,RGBA,0.914,0.964,196,0.011
DAPR-2010--Core_Recording/Microphones/Proximity_Effect.png,1672,941,237,RGBA,0.941,0.958,413,0.009
DAPR-2010--Core_Recording/Microphones/Wiki_Banner.png,1600,500,713,RGB,0.767,0.872,144,0.023
DAPR-2010--Core_Recording/Microphones/Polar_Plots_with_Ring_Scale_Legend.png,1600,640,185,RGBA,0.813,0.961,178,0.026
DAPR-2010--Core_Recording/Microphones/Polar_Patterns.png,1895,830,763,RGBA,0.812,0.924,263,0.032
DAPR-2010--Core_Recording/Microphones/Transducer_Types_Alt.png,1895,830,445,RGBA,0.811,0.905,299,0.097
DAPR-2010--Core_Recording/Microphones/Dark_Green_Polar_Pattern_Row.png,1600,560,727,RGBA,0.751,0.928,281,0.123
DAPR-2010--Core_Recording/Microphones/Spec_Sheet_Anatomy.png,1586,992,503,RGBA,0.915,0.964,197,0.011
DAPR-2010--Core_Recording/Microphones/Proximity_Effect_Alt.png,1672,941,296,RGBA,0.941,0.958,417,0.009
DAPR-2010--Core_Recording/Studio_Use_and_Care/Power_Up_Sequence.png,1600,800,119,RGBA,0.766,0.974,95,0.014
DAPR-2010--Core_Recording/Studio_Use_and_Care/Studio_Floor_Plan.png,1600,689,31,RGB,0.956,0.997,30,0.0
DAPR-2010--Core_Recording/Studio_Use_and_Care/Wiki_Banner.png,1600,500,746,RGB,0.628,0.859,286,0.038
DAPR-2010--Core_Recording/Studio_Use_and_Care/Fragile_Gear_Alt.png,1600,900,53,RGBA,0.942,0.989,76,0.002
DAPR-2010--Core_Recording/Studio_Use_and_Care/Gear_Handling.png,1600,800,1339,RGB,0.687,0.822,507,0.046
DAPR-2010--Core_Recording/Studio_Use_and_Care/Session_Strike_Order.png,1512,592,100,RGBA,0.881,0.958,512,0.034
DAPR-2010--Core_Recording/Studio_Use_and_Care/Fragile_Gear.png,1600,680,92,RGBA,0.867,0.964,402,0.015
DAPR-2010--Core_Recording/Studio_Use_and_Care/Power_Up_Sequence_Alt.png,1672,941,332,RGBA,0.896,0.955,232,0.037
DAPR-2010--Core_Recording/Studio_Etiquette/Session_Roles.png,1672,941,377,RGBA,0.82,0.946,397,0.131
DAPR-2010--Core_Recording/Studio_Etiquette/Assistant_Timeline.png,1600,800,802,RGB,0.907,0.957,236,0.01
DAPR-2010--Core_Recording/Studio_Etiquette/Where_the_Assistant_Stands.png,1136,880,74,RGBA,0.776,0.961,514,0.031
DAPR-2010--Core_Recording/Studio_Etiquette/Wiki_Banner.png,1600,500,819,RGB,0.391,0.757,403,0.023
DAPR-2010--Core_Recording/Studio_Etiquette/Session_Roles_Alt.png,1672,941,409,RGBA,0.82,0.946,392,0.131
DAPR-2010--Core_Recording/Acoustics/Standing_Waves_Modes.png,1600,800,60,RGBA,0.924,0.992,132,0.021
DAPR-2010--Core_Recording/Acoustics/Small_Room_Setup_Wrong_and_Right.png,1436,853,78,RGBA,0.918,0.976,447,0.021
DAPR-2010--Core_Recording/Acoustics/Wiki_Banner.png,1600,500,461,P,0.064,0.327,146,0.792
DAPR-2010--Core_Recording/Acoustics/Room_Paths_with_Arrival_Time_Graph.png,1600,900,995,RGB,0.876,0.948,470,0.02
DAPR-2010--Core_Recording/Acoustics/Room_Plan_with_Reflection_Points_Marked.png,1600,900,65,RGBA,0.954,0.993,111,0.014
DAPR-2010--Core_Recording/Acoustics/Blue_Arrow_Panels_on_Flat_Surfaces.png,1600,700,74,RGBA,0.906,0.988,114,0.047
DAPR-2010--Core_Recording/Acoustics/Blue_Arrow_Panels_with_Angle_Arc.png,1600,700,916,RGB,0.842,0.912,410,0.049
DAPR-2010--Core_Recording/Patch_Bays/Studio_B_Bay_Map.png,1069,670,382,RGB,0.5,0.679,498,0.145
DAPR-2010--Core_Recording/Patch_Bays/Normalling_Grid_with_Blue_Patch_Cables.png,1600,1000,1336,RGB,0.805,0.903,412,0.035
DAPR-2010--Core_Recording/Patch_Bays/Wiki_Banner.png,1600,500,495,P,0.032,0.164,237,0.719
DAPR-2010--Core_Recording/Patch_Bays/Normalling_Columns_with_Plain_Jack_Boxes.png,1600,900,112,RGBA,0.952,0.982,47,0.0
DAPR-2010--Core_Recording/Patch_Bays/Normalling_Types.png,1672,941,459,RGBA,0.869,0.94,191,0.007
DAPR-2010--Core_Recording/Session_Delivery_and_Archiving/Session_Folder.png,1320,897,288,RGBA,0.922,0.959,243,0.017
DAPR-2010--Core_Recording/Session_Delivery_and_Archiving/Assistant_Timeline.png,1600,800,802,RGB,0.907,0.957,236,0.01
DAPR-2010--Core_Recording/Session_Delivery_and_Archiving/Pro_Tools_Edit_Window.png,1153,970,742,RGBA,0.469,0.607,1571,0.077
DAPR-2010--Core_Recording/Session_Delivery_and_Archiving/Comping_Playlists.png,1600,900,25,RGBA,0.824,0.989,39,0.11
DAPR-2010--Core_Recording/Vocal_Recording/Recording_Chain.png,1600,900,50,RGBA,0.971,0.994,66,0.006
DAPR-2010--Core_Recording/Vocal_Recording/Wiki_Banner.png,1600,500,483,P,0.216,0.613,142,0.219
DAPR-2010--Core_Recording/Vocal_Recording/Comping_Playlists.png,1600,900,25,RGBA,0.824,0.989,39,0.11
DAPR-2010--Core_Recording/Vocal_Recording/Vocal_Booth_Setup_Wrong_and_Right.png,1492,692,61,RGBA,0.866,0.967,320,0.022
DAPR-2010--Core_Recording/Guitar_and_Bass_Recording/Speaker_Cone_with_Numbered_Blue_Callouts.png,1600,900,1150,RGB,0.877,0.947,253,0.013
DAPR-2010--Core_Recording/Guitar_and_Bass_Recording/Wiki_Banner.png,1600,500,425,P,0.147,0.449,190,0.478
DAPR-2010--Core_Recording/Guitar_and_Bass_Recording/Instrument_Split_to_DI_and_Amp.png,1600,800,59,RGBA,0.969,0.993,92,0.005
DAPR-2010--Core_Recording/Guitar_and_Bass_Recording/Detailed_Signal_Chain_with_Orange_Note.png,1600,800,768,RGBA,0.806,0.939,336,0.124
DAPR-2010--Core_Recording/Guitar_and_Bass_Recording/Speaker_Cone_Face_with_Red_Markers.png,1600,900,100,RGBA,0.968,0.99,76,0.003
DAPR-2010--Core_Recording/Guitar_and_Bass_Recording/Bass_DI_and_Mic_Alignment.png,1492,752,71,RGBA,0.941,0.966,356,0.024
DAPR-2010--Core_Recording/Studio_Business/Break_Even_Rate_by_Utilization.png,1294,813,83,RGBA,0.944,0.979,431,0.016
DAPR-2010--Core_Recording/Studio_Business/Rate_Structures.png,1600,800,51,RGBA,0.893,0.989,34,0.072
DAPR-2010--Core_Recording/Studio_Business/Wiki_Banner.png,1600,500,400,P,0.058,0.208,210,0.418
DAPR-2010--Core_Recording/Studio_Business/Cost_Breakdown.png,1600,900,87,RGBA,0.91,0.977,94,0.053
DAPR-2010--Core_Recording/Drum_Recording/Drum_Kit_Panels_with_Overhead_Options.png,1600,700,943,RGBA,0.746,0.904,446,0.031
DAPR-2010--Core_Recording/Drum_Recording/Overheads_Equal_Distance_to_Snare.png,1492,752,57,RGBA,0.939,0.974,227,0.015
DAPR-2010--Core_Recording/Drum_Recording/Tuning_and_Prep.png,1600,800,1137,RGB,0.792,0.917,419,0.021
DAPR-2010--Core_Recording/Drum_Recording/Wiki_Banner.png,1600,500,488,P,0.051,0.315,147,0.228
DAPR-2010--Core_Recording/Drum_Recording/Kit_Preparation.png,1600,820,325,RGBA,0.809,0.895,256,0.063
DAPR-2010--Core_Recording/Drum_Recording/Spaced_Pair_versus_Coincident_Line_Drawing.png,1600,800,58,RGBA,0.975,0.994,84,0.005
DAPR-2010--Core_Recording/Drum_Recording/Kit_Preparation_Alt.png,1600,900,99,RGBA,0.964,0.988,60,0.001
DAPR-2010--Core_Recording/Drum_Recording/Perspective_Kit_with_Numbered_Blue_Markers.png,1600,1000,1300,RGB,0.9,0.949,314,0.012
DAPR-2010--Core_Recording/Drum_Recording/Overhead_Kit_Plan_with_Red_Markers.png,1600,1200,145,RGBA,0.826,0.988,75,0.008
DAPR-2010--Core_Recording/_unused/ORTF_versus_Spaced_Pair_Panels.png,1600,700,47,RGBA,0.977,0.995,66,0.006
